Chapter_QID_URL,Chapter_Label,Report,Chapter,Last Name,First Name,CountIfs,Role,Gender,Country of Residence,Citizenship,Affiliation,Match_Type
http://localhost:8080/entity/Q87,Human Influence on the Climate System,WGI,Chapter 3: Human influence on the climate system,SUN,Ying,1,LA,F,China,China,China Meteorological Administration,EXACT
http://localhost:8080/entity/Q87,Human Influence on the Climate System,WGI,Chapter 3: Human influence on the climate system,HALENKA,Tomas,1,RE,M,Czech Republic,Czech Republic,Charles University,EXACT
http://localhost:8080/entity/Q87,Human Influence on the Climate System,WGI,Chapter 3: Human influence on the climate system,MARENGO ORSINI,Jose Antonio,2,RE,M,Brazil,Peru,CEMADEN,EXACT
http://localhost:8080/entity/Q87,Human Influence on the Climate System,WGI,Chapter 3: Human influence on the climate system,MITCHELL,Daniel,1,RE,M,United Kingdom (of Great Britain and Northern Ireland),UK,University of Bristol,EXACT
http://localhost:8080/entity/Q88,Future Global Climate: Scenario-based Projections and Near-term Information,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,LEE,June-yi,3,CLA,F,Republic of Korea,Republic of Korea,Pusan National University and Institute for Basic Science Center for Climate Physics,EXACT
http://localhost:8080/entity/Q88,Future Global Climate: Scenario-based Projections and Near-term Information,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,MAROTZKE,Jochem,1,CLA,M,Germany,Germany,Max Planck Institute for Meteorology,EXACT
http://localhost:8080/entity/Q88,Future Global Climate: Scenario-based Projections and Near-term Information,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,BALA,Govindasamy,1,LA,M,India,USA,Indian Institute of Science,EXACT
http://localhost:8080/entity/Q88,Future Global Climate: Scenario-based Projections and Near-term Information,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,CAO,Long,1,LA,M,China,China,"School of Earth Sciences, Zhejiang University",EXACT
http://localhost:8080/entity/Q88,Future Global Climate: Scenario-based Projections and Near-term Information,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,CORTI,Susanna,1,LA,F,Italy,Italy,Consiglio Nazionale delle Ricerche (CNR) - Istituto di Scienze dell,EXACT
http://localhost:8080/entity/Q88,Future Global Climate: Scenario-based Projections and Near-term Information,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,DUNNE,John,1,LA,M,United States of America,USA,NOAA Geophysical Fluid Dynamics Laboratory,EXACT
http://localhost:8080/entity/Q88,Future Global Climate: Scenario-based Projections and Near-term Information,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,ENGELBRECHT,Francois,2,LA,M,South Africa,South Africa,University of the Witwatersrand,EXACT
http://localhost:8080/entity/Q88,Future Global Climate: Scenario-based Projections and Near-term Information,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,FISCHER,Erich,1,LA,M,Switzerland,Switzerland,ETH Zurich,EXACT
http://localhost:8080/entity/Q88,Future Global Climate: Scenario-based Projections and Near-term Information,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,FYFE,John,1,LA,M,Canada,Canada,Environment and Climate Change Canada,EXACT
